location,latitude,longitude,magnitude,depth,day,hour,minute,sec
BUYUKYAPALAK-ELBISTAN (KAHRAMANMARAS),38.3008,37.2815,3, 5.0 km,9,0,0,25
GOVDELI-DOGANSEHIR (MALATYA),38.0533,37.6245,3.3, 5.0 km,8,23,55,34
YOGUNOLUK-GOKSUN (KAHRAMANMARAS),37.9157,36.3598,3.1,26.7 km,8,23,40,17
KALEDIBI-TURKOGLU (KAHRAMANMARAS),37.2902,36.7163,3.4, 2.4 km,8,23,20,50
AHMETCIK-GOKSUN (KAHRAMANMARAS),38.028,36.6562,3, 5.4 km,8,23,19,8
GORGU-YESILYURT (MALATYA),38.2552,38.1155,4, 4.9 km,8,23,12,4
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.0463,36.5897,3.3, 7.1 km,8,23,9,11
ANAYAZI-(HATAY),36.3162,36.1878,4.1, 5.5 km,8,22,48,10
ARIKONAK-SINCIK (ADIYAMAN),38.1187,38.5898,3.2, 2.3 km,8,22,23,19
CINARLI-PAZARCIK (KAHRAMANMARAS),37.472,37.0825,3.1, 6.0 km,8,22,13,23
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.046,36.5603,3.1, 4.3 km,8,22,12,4
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0448,36.5213,4, 1.5 km,8,22,5,17
YAGMURLU-GOKSUN (KAHRAMANMARAS),38.0702,36.5668,3.3, 4.3 km,8,21,58,14
KURUCAOVA-DOGANSEHIR (MALATYA),37.9987,38.1248,3.3, 5.0 km,8,21,53,22
GUMUSDOVEN-ELBISTAN (KAHRAMANMARAS),38.0712,37.2852,3.6, 7.4 km,8,21,40,24
SOGUTLU-PAZARCIK (KAHRAMANMARAS),37.4723,37.1945,3.9, 9.5 km,8,21,35,10
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.32,37.0685,3, 5.2 km,8,21,26,12
SOGUCAK-AFSIN (KAHRAMANMARAS),38.1488,36.9415,3.2, 5.0 km,8,21,12,48
TOPRAKTEPE-DOGANSEHIR (MALATYA),38.1013,37.8302,3.5, 3.9 km,8,21,6,51
TOZLUCA-ASKALE (ERZURUM),39.7515,40.6583,4.3, 5.0 km,8,20,57,19
KARACURUN-YAYLADAGI (HATAY),36.0463,36.082,3.3,16.6 km,8,20,23,46
YUVA-GURUN (SIVAS),38.8098,37.3608,3.6, 5.0 km,8,20,6,37
KARABAHSILI-GOLBASI (ADIYAMAN),37.8952,37.7112,3.4,19.8 km,8,20,2,41
EKINOZU (KAHRAMANMARAS),38.0867,37.1747,3.1, 8.3 km,8,20,1,12
ELBISTANHUYUGU-ISLAHIYE (GAZIANTEP),37.1002,36.741,3.5,10.9 km,8,19,59,20
AKPINAR-EKINOZU (KAHRAMANMARAS),38.0998,37.2143,4.2, 7.3 km,8,19,55,39
CEVREPINAR-(KAHRAMANMARAS),37.8388,36.5992,3.2,16.5 km,8,19,40,33
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.1062,36.4693,3.3, 5.0 km,8,19,10,35
SAHINKAYASI-(KAHRAMANMARAS),37.8777,36.6877,3.3, 8.1 km,8,19,3,58
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.3195,37.072,3.1, 5.0 km,8,18,56,50
CEVREPINAR-(KAHRAMANMARAS),37.8438,36.6138,4.2, 5.0 km,8,18,49,57
ISLAHIYE (GAZIANTEP),37.0452,36.6278,3.1,10.8 km,8,18,42,47
HANAGZI-ISLAHIYE (GAZIANTEP),37.0623,36.613,3.9, 5.0 km,8,18,12,28
KABAKTEPE-EKINOZU (KAHRAMANMARAS),38.0442,37.0373,4.2, 4.2 km,8,18,4,42
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.3392,36.8715,3.3, 5.0 km,8,18,2,5
SAHINKAYASI-(KAHRAMANMARAS),37.8667,36.693,3.3, 6.2 km,8,17,53,8
HACIOMER-GOKSUN (KAHRAMANMARAS),38.0713,36.6113,4.2, 5.6 km,8,17,42,21
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.3308,37.0577,3.1, 5.0 km,8,17,34,37
BARIS-NURHAK (KAHRAMANMARAS),37.9922,37.3845,4.9,13.0 km,8,17,20,25
GOVDELI-DOGANSEHIR (MALATYA),37.9748,37.5967,3.6, 5.0 km,8,17,9,39
MESTAN-(ADIYAMAN),37.9685,38.224,3.3, 5.4 km,8,17,3,55
YALINKAYA-YESILYURT (MALATYA),38.1182,38.1492,4, 5.8 km,8,17,4,55
ATAYURDU-ALTINOZU (HATAY),36.176,36.2757,3.5,10.3 km,8,16,56,52
AGCASAR-NURHAK (KAHRAMANMARAS),38.0563,37.4052,3, 6.4 km,8,16,37,45
FINDIKKOY-DOGANSEHIR (MALATYA),38.1143,37.7533,3.5, 5.0 km,8,16,33,20
DUGERIN-SIVEREK (SANLIURFA),37.8257,39.4208,3.3, 8.4 km,8,16,24,47
KANLIKAVAK-GOKSUN (KAHRAMANMARAS),38.1037,36.5857,3.1, 5.0 km,8,16,18,44
